,txt_file,tot_battles,avg_weight_team
83,https://www.smogon.com/stats/2015-02/gen5uu-1760.txt,4,0.0
84,https://www.smogon.com/stats/2015-02/gen5ru-0.txt,9,1.0
85,https://www.smogon.com/stats/2015-02/gen5ru-1500.txt,9,0.506
86,https://www.smogon.com/stats/2015-02/gen5ru-1630.txt,9,0.0
87,https://www.smogon.com/stats/2015-02/gen5ru-1760.txt,9,0.0
88,https://www.smogon.com/stats/2015-02/gen5ru-0.txt,9,1.0
89,https://www.smogon.com/stats/2015-02/gen5ru-1500.txt,9,0.506
90,https://www.smogon.com/stats/2015-02/gen5ru-1630.txt,9,0.0
91,https://www.smogon.com/stats/2015-02/gen5ru-1760.txt,9,0.0
92,https://www.smogon.com/stats/2015-02/gen5ru-0.txt,9,1.0
93,https://www.smogon.com/stats/2015-02/gen5ru-1500.txt,9,0.506
94,https://www.smogon.com/stats/2015-02/gen5ru-1630.txt,9,0.0
95,https://www.smogon.com/stats/2015-02/gen5ru-1760.txt,9,0.0
96,https://www.smogon.com/stats/2015-03/gen5ubers-0.txt,59,1.0
97,https://www.smogon.com/stats/2015-03/gen5ubers-1500.txt,59,0.546
98,https://www.smogon.com/stats/2015-03/gen5ubers-1630.txt,59,0.047
99,https://www.smogon.com/stats/2015-03/gen5ubers-1760.txt,59,0.008
100,https://www.smogon.com/stats/2015-03/gen5ou-0.txt,2407,1.0
101,https://www.smogon.com/stats/2015-03/gen5ou-1500.txt,2407,0.626
102,https://www.smogon.com/stats/2015-03/gen5ou-1630.txt,2407,0.177
103,https://www.smogon.com/stats/2015-03/gen5ou-1760.txt,2407,0.039
104,https://www.smogon.com/stats/2015-03/gen5uu-0.txt,10,1.0
105,https://www.smogon.com/stats/2015-03/gen5uu-1500.txt,10,0.634
106,https://www.smogon.com/stats/2015-03/gen5uu-1630.txt,10,0.123
107,https://www.smogon.com/stats/2015-03/gen5uu-1760.txt,10,0.05
108,https://www.smogon.com/stats/2015-03/gen5ru-0.txt,1,1.0
109,https://www.smogon.com/stats/2015-03/gen5ru-1500.txt,1,0.5
110,https://www.smogon.com/stats/2015-03/gen5ru-1630.txt,1,0.0
111,https://www.smogon.com/stats/2015-03/gen5ru-1760.txt,1,0.0
112,https://www.smogon.com/stats/2015-03/gen5ru-0.txt,1,1.0
113,https://www.smogon.com/stats/2015-03/gen5ru-1500.txt,1,0.5
114,https://www.smogon.com/stats/2015-03/gen5ru-1630.txt,1,0.0
115,https://www.smogon.com/stats/2015-03/gen5ru-1760.txt,1,0.0
116,https://www.smogon.com/stats/2015-03/gen5ru-0.txt,1,1.0
117,https://www.smogon.com/stats/2015-03/gen5ru-1500.txt,1,0.5
118,https://www.smogon.com/stats/2015-03/gen5ru-1630.txt,1,0.0
119,https://www.smogon.com/stats/2015-03/gen5ru-1760.txt,1,0.0
120,https://www.smogon.com/stats/2015-04/gen5ubers-0.txt,34,1.0
121,https://www.smogon.com/stats/2015-04/gen5ubers-1500.txt,34,0.515
122,https://www.smogon.com/stats/2015-04/gen5ubers-1630.txt,34,0.002
123,https://www.smogon.com/stats/2015-04/gen5ubers-1760.txt,34,0.0
124,https://www.smogon.com/stats/2015-04/gen5ou-0.txt,1311,0.999
125,https://www.smogon.com/stats/2015-04/gen5ou-1500.txt,1311,0.615
126,https://www.smogon.com/stats/2015-04/gen5ou-1630.txt,1311,0.175
127,https://www.smogon.com/stats/2015-04/gen5ou-1760.txt,1311,0.038
128,https://www.smogon.com/stats/2015-04/gen5uu-0.txt,1,1.0
129,https://www.smogon.com/stats/2015-04/gen5uu-1500.txt,1,0.5
130,https://www.smogon.com/stats/2015-04/gen5uu-1630.txt,1,0.0
131,https://www.smogon.com/stats/2015-04/gen5uu-1760.txt,1,0.0
132,https://www.smogon.com/stats/2015-04/gen5uu-0.txt,1,1.0
133,https://www.smogon.com/stats/2015-04/gen5uu-1500.txt,1,0.5
134,https://www.smogon.com/stats/2015-04/gen5uu-1630.txt,1,0.0
135,https://www.smogon.com/stats/2015-04/gen5uu-1760.txt,1,0.0
136,https://www.smogon.com/stats/2015-04/gen5uu-0.txt,1,1.0
137,https://www.smogon.com/stats/2015-04/gen5uu-1500.txt,1,0.5
138,https://www.smogon.com/stats/2015-04/gen5uu-1630.txt,1,0.0
139,https://www.smogon.com/stats/2015-04/gen5uu-1760.txt,1,0.0
140,https://www.smogon.com/stats/2015-04/gen5uu-0.txt,1,1.0
141,https://www.smogon.com/stats/2015-04/gen5uu-1500.txt,1,0.5
142,https://www.smogon.com/stats/2015-04/gen5uu-1630.txt,1,0.0
143,https://www.smogon.com/stats/2015-04/gen5uu-1760.txt,1,0.0
144,https://www.smogon.com/stats/2015-05/gen5ubers-0.txt,53,1.0
145,https://www.smogon.com/stats/2015-05/gen5ubers-1500.txt,53,0.585
146,https://www.smogon.com/stats/2015-05/gen5ubers-1630.txt,53,0.119
147,https://www.smogon.com/stats/2015-05/gen5ubers-1760.txt,53,0.039
148,https://www.smogon.com/stats/2015-05/gen5ou-0.txt,1514,1.0
